ControlID,RequirementID,Principle,Category,EvidenceTitle,ControlText,TypicalEvidence,Control_Function,Control_Type,AIVSS_Primary,AIVSS_Secondary,ASI_ID,ASI_Title,Bridge_Used,Confidence,Rationale,Review_Priority,Review_Checks_Failed,Review_Change_Flag,Review_Change_Notes
A004.4,A004,Data & Privacy,Technical Implementation,A004.4 Config: IP disclosure monitoring,"- Establishing output monitoring for high-risk IP scenarios. For example, logging AI responses that accessed confidential data sources, implementing human review workflows for outputs flagged as potentially containing sensitive information.","Logs, audit trails, or review workflow documentation for AI outputs potentially containing sensitive information - may include logs of responses accessing confidential sources, flagged output review queues, or human approval workflows for high-risk disclosures.",Detect,Technical,Agent Untraceability,,ASI09,Human-Agent Trust Exploitation,N,High,"Detected cues: logging, audit, rce, disclosure, approval. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
A005.1,A005,Data & Privacy,Legal Policies,A005.1 Documentation: Consent for combined data usage,"- Establishing explicit consent and disclosure for combined data usage. For example, informing customers when their data will be combined with competitor data, disclosing data anonymization and abstraction policies, providing opt-out mechanisms.",Typically demonstrated by Data Processing Agreement or Terms of Service,Prevent,Policy,Agent Untraceability,Agent Access Control Violation,,,N,Medium,"Detected cues: cross-customer, rce, consent, disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Access Control Violation.",P1,AmbiguousTop2; AltPrimaryStrongerThanUntraceability,,
A005.2,A005,Data & Privacy,Technical Implementation,A005.2 Config: Customer data isolation controls,"- Implementing customer data isolation controls. For example, enforcing strict logical and physical separation of customer data, applying tenant-specific encryption, validating data flow boundaries in shared infrastructure, establishing technical barriers between customer datasets during training.","Screenshot showing app_IDs in database schema, screenshot showing that namespace by appID is used in vector store for RAG or that logical isolation is implemented in an equivalent way, or screenshot of authz check in code verifying appIDs match before returning objects.",Prevent,Technical,Agent Access Control Violation,Agent Memory & Context Manipulation,ASI06,Memory & Context Poisoning,Y,High,"Detected cues: rag, vector, tenant, cross-customer, rce. ASI label inferred: ASI06 (Memory & Context Poisoning). Mapped primarily to AIVSS core risk 'Agent Memory & Context Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Insecure Agent Critical Systems Interaction. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment.",P1,BridgeUsed,Y,"Auto-change: strong heuristic (5.0, gap 2.0) indicates 'Agent Access Control Violation'."
A005.3,A005,Data & Privacy,Technical Implementation,A005.3 Config: Privacy-enhancing controls,- Implementing specific privacy-enhancing technologies (PETs) to reduce competitive exposure.,"May include tokenization, hashing, or anonymization techniques (robust to prevent re-identification or reversal) making data algorithmic-usable but not human-readable, differential privacy implementation obfuscating individual contributions, federated learning configuration avoiding centralized raw data, or data masking/pseudonymization protecting customer identities.",Prevent,Technical,Agent Access Control Violation,Agent Memory & Context Manipulation,,,N,Medium,"Detected cues: token, cross-customer, rce. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation.",OK,,,
A006.1,A006,Data & Privacy,Technical Implementation,A006.1 Config: PII detection and filtering,"- Implementing safeguards to prevent personal data leakage through AI system outputs and logs. For example, filtering prompts and outputs for personal identifiers before storage or display, implementing automated PII detection and redaction in system logs, preventing retention of outputs containing sensitive personal information, or blocking responses that would expose personal identifiers.","Screenshot of code filtering LLM inputs and/or outputs for personal identifiers - may include keyword checks or regex patterns detecting PII (e.g. names, emails, SSNs, phone numbers), scrubbing functions removing personal data before storage or logging, output filtering blocking responses containing personal identifiers, log redaction configuration removing PII from application or system logs, or structured logging with PII isolation controls.",Detect,Technical,Agent Access Control Violation,Agent Untraceability,,,N,Medium,"Detected cues: rag, logging, pii, personal data. Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.",P1,AmbiguousTop2,,
A006.2,A006,Data & Privacy,Technical Implementation,A006.2 Config: PII access controls,"- Requiring authentication and authorization for PII access. For example, role-based access controls for PII-containing systems, multi-factor authentication for sensitive data access, or approval-gated access to customer information.","Screenshot of IAM configuration or user roles list for systems containing PII - e.g. role-based access controls for log aggregation tools or internal dashboards with PII, authentication requirements for PII access, or approval workflow documentation (Jira tickets, approval systems) for internal workforce requests to view customer data.",Detect,Technical,Agent Access Control Violation,Agent Untraceability,ASI03,Identity & Privilege Abuse,N,High,"Detected cues: tool, rce, approval, pii, personal data. ASI label inferred: ASI03 (Identity & Privilege Abuse). Mapped primarily to AIVSS core risk 'Agent Access Control Violation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.",P1,AmbiguousTop2,,
A006.3,A006,Data & Privacy,Technical Implementation,A006.3 Config: DLP system integration,- Integrating with existing data loss prevention (DLP) systems to monitor and block outputs containing personal data in violation of policy.,"Screenshot of output pipeline integrating with DLP system to scan and block PII policy violations - may include DLP integration code scanning AI outputs before delivery to users, DLP configuration rules for PII detection, or logs showing blocked outputs containing personal data.",Detect,Policy,Agent Untraceability,,,,N,Medium,"Detected cues: integration, pii, personal data. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",P2,ToolCueMismatch,,
A007.1,A007,Data & Privacy,Legal Policies,A007.1 Documentation: Model provider IP infringement protections,"- Documenting foundation model provider IP protections which may serve as primary infringement safeguards. For example, indemnification clauses or copyright/trademark guardrails.","Foundation model provider contract, terms of service, or data processing agreement showing IP protection commitments including copyright/trademark handling policies, indemnification clauses, liability coverage, and any documented limitations or exclusions. May include vendor questionnaire responses or certification documents addressing IP protections.",Prevent,Policy,Agent Supply Chain & Dependency Risk,,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,Detected cues: rag. ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated.,P1,AmbiguousTop2,,
A007.2,A007,Data & Privacy,Technical Implementation,A007.2 Config: IP infringement filtering,"- Establishing supplementary content filtering mechanisms where provider protections have gaps or limitations. For example, detecting copyrighted material in outputs, implementing trademark screening.","Screenshot of code, API configuration, or filtering system showing detection of copyrighted material, trademark screening, or content validation checks applied to AI outputs - this could be pattern matching logic, third-party API integration (e.g. copyright detection services), or custom filtering rules.",Prevent,Technical,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,High,IP infringement filtering addresses risks from training data containing copyrighted content. Content provenance tracking supports traceability.,OK,AmbiguousTop2,,
A007.3,A007,Data & Privacy,Technical Implementation,A007.3 Logs: User-facing notices,"- Implementing user guidance and guardrails to reduce IP risk. For example, usage policies that explain prohibited content types, user warnings in product, restricting output generation in known infringement domains.
- Implementing restrictions in AI acceptable use policy.","Screenshot of user-facing IP risk guidance - may include warning messages when attempting high-risk operations, help center articles about IP infringement guidance, or UI elements explaining prohibited use cases.",Prevent,Policy,Agent Supply Chain & Dependency Risk,Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,High,User-facing IP guidance reduces risk of generating infringing content derived from training data. Notices support traceability.,OK,ASIAlignmentMismatch,,
B001.1,B001,Security,Third-party Evals,B001.1 Report: adversarial testing results,"- Establishing a taxonomy for adversarial risks. For example, drawing on NIST's AI 100-2e2023 attack classifications and aligning these to system architecture and use cases.
- Conducting comprehensive adversarial testing at least quarterly. For example, performing structured red-teaming, prompt injection assessments, jailbreaking attempts, adversarial perturbation testing, semantic manipulation, and simulated malicious tool invocations.
- Maintaining secure testing documentation. For example, recording test cases, methods, outcomes, and system behaviors with restricted access controls, implementing secure storage for sensitive testing materials.
- Establishing improvement processes based on findings. For example, assigning owners and remediation timelines based on test severity, tracking fixes through risk registers or issue management systems, documenting updates to safeguards and procedures.","Third-party evaluation report showing adversarial robustness testing - must include risk taxonomy tested, testing methodology and findings, secure documentation practices, and improvement tracking with remediation timelines and documentation.",Detect,Process,Agent Goal & Instruction Manipulation,,ASI01,Agent Goal Hijack,N,High,"Detected cues: prompt injection, jailbreak, rag, tool, eval, testing. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated.",P2,ToolCueMismatch,,
B001.2,B001,Security,Operational Practices,B001.2 Documentation: Security program integration,"- Aligning adversarial testing with broader security testing programs. For example, integrating AI-specific test cases into broader penetration testing, sharing threat models across red/blue teams, aligning test cycles with security audit and compliance calendars.","Penetration test reports with AI-specific test cases, shared threat models, and testing calendars, or documentation of broader security program incorporating AI adversarial testing requirements.",Detect,Process,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,Agent Goal Hijack,N,High,Security program integration for adversarial testing detects goal manipulation attacks (prompt injection). Testing records support traceability.,OK,ASIAlignmentMismatch; ToolCueMismatch,,
B002.1,B002,Security,Technical Implementation,B002.1 Config: Adversarial input detection and alerting,"- Establishing detection and alerting. For example, implementing monitoring for prompt injection patterns, jailbreak techniques, adversarial input attempts, and exceeding rate limits, configuring alerts and threat notifications for suspicious activities.","Screenshot of monitoring system, SIEM, or detection code showing rules and alerts for adversarial inputs - may include prompt injection detection patterns, jailbreak technique signatures, rate limit monitoring with threshold alerts, or notification configurations (Slack, PagerDuty, email)",Prevent,Technical,Agent Goal & Instruction Manipulation,,ASI01,Agent Goal Hijack,N,Medium,"Detected cues: prompt injection, jailbreak, rate limit. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated.",OK,,,
B002.2,B002,Security,Technical Implementation,B002.2 Logs: Adversarial incident and response,"- Implementing incident logging and response procedures. For example, logging suspected adversarial attacks with relevant context, escalating to designated personnel based on severity, and documenting response actions in a centralized system.","Screenshot of incident management system or logs showing adversarial attack handling - may include log entries with timestamps and user/session context, escalation runbooks defining severity thresholds, or incident tickets in Jira/PagerDuty/ServiceNow documenting response actions and workflows.",Detect,Technical,Agent Untraceability,Agent Goal & Instruction Manipulation; Agent Memory & Context Manipulation,ASI06,Memory & Context Poisoning,N,High,Incident logging and response for adversarial attacks provides traceability. Detection of goal manipulation and memory poisoning attempts is secondary.,OK,AmbiguousTop2; ASIAlignmentMismatch; MemoryCueMismatch; AltPrimaryStrongerThanUntraceability,,
B002.3,B002,Security,Technical Implementation,B002.3 Documentation: Updates to detection config,"- Maintaining detection effectiveness through quarterly reviews. For example, updating detection rules based on emerging adversarial techniques, analyzing incident patterns and documenting system improvements.","Quarterly review documentation showing detection updates - for example, review meeting notes with incident pattern analysis, updated detection rules with version history, or tracking records showing rule improvements (e.g. GitHub/Jira tickets).",Detect,Technical,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI01,Agent Goal Hijack,N,Medium,Detected cues: prompt injection. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.,OK,,,
B002.4,B002,Security,Technical Implementation,B002.4 Config: Pre-processing adversarial detection,"- Implementing adversarial input detection prior to AI model processing where feasible. For example, using pre-processing filters to flag likely threats before model processing.","Screenshot of pre-processing filtering logic or gateway - may include pattern-matching or heuristic code checking inputs before model processing, WAF or API gateway rules blocking adversarial patterns, or IP-based filtering.",Prevent,Technical,Agent Goal & Instruction Manipulation,,ASI01,Agent Goal Hijack,N,Medium,"Detected cues: prompt injection, api. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated.",P2,WeakSignals; ToolCueMismatch,,
B002.5,B002,Security,Technical Implementation,B002.5 Config: AI security alerts,"- Integrating adversarial input detection into existing security operations tooling. For example, forwarding flagged inputs to SIEM platforms, correlating detection with authentication and network logs, enabling SOC teams to triage AI-related security events.","Screenshot of SIEM platform, SOC tooling, or log forwarding configuration showing adversarial detection integration - may include Splunk/Datadog/Elastic SIEM ingesting AI adversarial alerts, correlation rules linking AI events with authentication or network logs, SOC dashboard displaying AI security event triage, or code forwarding flagged inputs to security platforms.",Detect,Technical,Agent Untraceability,,ASI01,Agent Goal Hijack,Y,Medium,"Detected cues: prompt injection, tool, integration. ASI label inferred: ASI01 (Agent Goal Hijack). Mapped primarily to AIVSS core risk 'Agent Goal & Instruction Manipulation' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Goal & Instruction Manipulation. ASI→AIVSS bridge used to resolve ambiguity via Appendix A alignment.",P1,BridgeUsed; ToolCueMismatch,Y,"Auto-change: strong heuristic (4.0, gap 2.0) indicates 'Agent Untraceability'."
B003.1,B003,Security,Operational Practices,B003.1 Documentation: Technical information disclosure guidelines,"- Documenting limitations on technical information release. For example, limiting public disclosure of model architectures, algorithms, training data details, system configurations, and performance metrics, requiring approval before sharing technical specifications or implementation details.
- Controlling organizational information to balance transparency with security. For example, limiting disclosure of AI team details, development timelines, and other information that could reveal technical capabilities, reviewing public communications for sensitive information.","Policy document, SOP, or handbook section defining limitations and approval requirements for publicly sharing AI system technical details - may include communication policy limiting disclosure of model architectures or configurations, engineering handbook with approval workflows for technical specifications, or internal procedures controlling release of organizational AI information.
",Prevent,Policy,Agent Untraceability,,ASI09,Human-Agent Trust Exploitation,N,High,"Detected cues: disclosure, approval. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
B003.2,B003,Security,Operational Practices,B003.2 Documentation: Public disclosure approval records,"- Establishing approval processes. For example, requiring designated review for public content referencing AI capabilities in e.g. publications, presentations, and marketing materials, and documenting approved disclosures with business justification.","Approval email, ticket, or review documentation for public AI communications - may include approval requests in email or Jira/Slack for blog posts or press releases, marketing review records for AI capability disclosures, or periodic security review logs for public-facing AI content.",Detect,Process,Agent Untraceability,,ASI09,Human-Agent Trust Exploitation,N,High,"Detected cues: disclosure, approval. ASI label inferred: ASI09 (Human-Agent Trust Exploitation). Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
B004.1,B004,Security,Technical Implementation,B004.1 Config: Anomalous usage detection,"- Implementing systems distinguishing between high-volume legitimate usage and adversarial behavior. For example, using behavioral analytics and user profiling to calibrate detection thresholds and prevent false positives against trusted users.","Screenshot of anomaly detection system or configuration file - may include behavioral analytics dashboard (Datadog, Elastic, Splunk) with user scoring rules, rate limiting configuration with tier-based thresholds (config.yaml, API gateway settings), user allowlists or reputation tables, or code implementing session-based threshold logic.",Prevent,Technical,Agentic AI Tool Misuse,Agent Memory & Context Manipulation; Insecure Agent Critical Systems Interaction,ASI02,Tool Misuse & Exploitation,N,Medium,"Detected cues: tool, api, scraping, rate limit. ASI label inferred: ASI02 (Tool Misuse & Exploitation). Mapped primarily to AIVSS core risk 'Agentic AI Tool Misuse' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Memory & Context Manipulation, Insecure Agent Critical Systems Interaction.",P1,AmbiguousTop2,,
B004.2,B004,Security,Technical Implementation,B004.2 Config: Rate limits,"- Implementing rate limiting and query restrictions. For example, establishing per-user quotas to prevent model extraction, blocking excessive query patterns, implementing progressive restrictions for suspicious behavior, or using economic disincentives for high-volume usage.","Screenshot of rate limiting configuration for API endpoints - may include per-user quota settings, query throttling rules, progressive restriction policies, WAF configuration (Cloudflare, AWS WAF, Azure Application Gateway) with blocking rules for excessive patterns, or pricing tier settings implementing usage-based cost increases.",Prevent,Technical,Agentic AI Tool Misuse,,ASI02,Tool Misuse & Exploitation,N,High,"Detected cues: tool, api, scraping, rate limit, quota. ASI label inferred: ASI02 (Tool Misuse & Exploitation). Mapped primarily to AIVSS core risk 'Agentic AI Tool Misuse' as the most direct agentic failure mode mitigated.",OK,,,
B004.3,B004,Security,Technical Implementation,B004.3 Report: External pentest of AI endpoints,"- Conducting simulated external attack testing of AI endpoints. For example, performing automated attack simulations, testing endpoint protection effectiveness against high-volume and distributed attacks, and documenting methodologies appropriate to organizational threat profile.","Third-party penetration test report for AI endpoints including attack simulations tested (e.g. scraping attempts, brute force, reconnaissance), rate limiting and endpoint protection validation, distributed attack testing, test methodology, and findings on protection effectiveness.",Detect,Technical,Agent Supply Chain & Dependency Risk,,ASI04,Agentic Supply Chain Vulnerabilities,N,Medium,"Detected cues: api, rce, scraping, rate limit, testing. ASI label inferred: ASI04 (Agentic Supply Chain Vulnerabilities). Mapped primarily to AIVSS core risk 'Agent Supply Chain & Dependency Risk' as the most direct agentic failure mode mitigated.",OK,,,
B004.4,B004,Security,Technical Implementation,B004.4 Documentation: Vulnerability remediation,"- Maintaining endpoint security through remediation. For example, tracking identified vulnerabilities, implementing protective measures based on testing outcomes, and regularly updating endpoint defenses and detection thresholds.","Screenshot of issue tracking system (GitHub, Jira, Linear) showing endpoint vulnerability lifecycle - must include vulnerability identification, remediation proposal, implementation, and production deployment with timestamps and approval records.",Prevent,Technical,Insecure Agent Critical Systems Interaction,Agent Untraceability,,,N,Medium,"Detected cues: api, scraping, testing, approval. Mapped primarily to AIVSS core risk 'Insecure Agent Critical Systems Interaction' as the most direct agentic failure mode mitigated. Secondary impact likely also reduces: Agent Untraceability.",P1,AmbiguousTop2,,
B005.1,B005,Security,Technical Implementation,B005.1 Config: Input filtering,"- Integrating automated moderation tools to filter inputs before they reach the foundation model. For example, integrating third-party moderation APIs, implementing custom filtering rules, configuring blocking or warning actions for flagged content, and establishing confidence thresholds based on risk category and severity","Screenshot of moderation tool integration showing API configuration, filtering rules, action settings (block/warn/modify), and confidence thresholds for different violation categories - this could be screenshots of configuration files, admin dashboard settings, or API integration code.

Example moderation tools: OpenAI Moderation API, Claude content filtering, VirtueAI/Hive/Spectrum Labs",Prevent,Technical,Agent Goal & Instruction Manipulation,Agent Untraceability,ASI04,Agentic Supply Chain Vulnerabilities,N,High,"Automated moderation tools detect and block prompt injection attempts, mitigating goal manipulation.",OK,,,
B005.2,B005,Security,Technical Implementation,B005.2 Documentation: Input moderation approach,"- Documenting the moderation logic and rationale. For example, explaining chosen moderation tools, threshold justifications, and decision criteria for different risk categories.","Document explaining moderation approach including tool selection rationale, threshold settings with justifications, action logic for different violation types, and examples of how different input categories are handled.",Prevent,Technical,Agent Goal & Instruction Manipulation,Agent Untraceability,,,N,High,Documentation of moderation approach supports accountability and refinement of goal manipulation defenses.,OK,,Y,Manual review: documentation of moderation supports accountability; mitigates goal/instruction manipulation.
B005.3,B005,Security,Technical Implementation,B005.3 Demonstration: Warning for blocked inputs,Providing feedback to users when inputs are blocked.,"Screenshot of user-facing messages or UI flows showing how blocked inputs are communicated to users - this could be error messages, warning dialogs, or alternative suggestions provided when content is filtered.",Prevent,Technical,Agent Goal & Instruction Manipulation,Agent Untraceability,,,N,High,User warnings for blocked inputs provide transparency about goal manipulation defense mechanisms.,OK,,Y,Manual review: user-visible blocked-input warnings support transparency/trust; secondary goal/instruction manipulation.
B005.4,B005,Security,Technical Implementation,B005.4 Logs: Input filtering,"- Logging flagged prompts for analysis and refinement of filters, while ensuring compliance with privacy obligations.","Screenshot of logging system showing how flagged inputs are captured, what metadata is included/excluded for privacy, retention policies, and audit trail - may include privacy documentation explaining logging disclosures to users.",Detect,Technical,Agent Untraceability,,,,N,High,"Detected cues: tool, logging, audit, disclosure. Mapped primarily to AIVSS core risk 'Agent Untraceability' as the most direct agentic failure mode mitigated.",OK,,,
B005.5,B005,Security,Technical Implementation,B005.5 Documentation: Input filter performance,"- Periodically evaluating filter performance and adjusting thresholds accordingly. For example, accuracy, latency, false positives/negatives.","Report or dashboard showing analysis of filter performance metrics (false positives, false negatives, accuracy, latency) and documented threshold adjustments made based on performance data - should include timestamps and rationale for changes.",Prevent,Technical,Agent Goal & Instruction Manipulation,Agent Untraceability,,,N,High,Filter performance monitoring ensures prompt injection defenses remain effective over time.,OK,,Y,Manual review: filter performance directly mitigates prompt injection/goal hijack; documentation/metrics secondary.
